Subject,ChannelIndex,ROI,ClassLabel,FixationAccuracy,EncodingAccuracy,Delay1Accuracy,Delay2Accuracy,Fix_null_mean,Fix_null_std,Enc_null_mean,Enc_null_std,D1_null_mean,D1_null_std,D2_null_mean,D2_null_std,Fix_p_perm,Enc_p_perm,D1_p_perm,D2_p_perm,D1_vsFix_p,D2_vsFix_p,Fix_p_binom,Enc_p_binom,D1_p_binom,D2_p_binom,Fix_signif_binom,Enc_signif_binom,D1_signif_binom,D2_signif_binom,D1_signif_vsFix,D2_signif_vsFix
k12wm008,70,R Inferior Temporal Gyrus,2,0.544,0.562,0.713,0.594,0.512,0.054,0.502,0.086,0.515,0.071,0.51,0.054,0.3069,0.2772,0.0099,0.0594,0.0099,0.1287,0.152,0.0664,0,0.0108,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
k12wm002,61,L Precentral Gyrus,2,0.531,0.519,0.619,0.481,0.494,0.055,0.493,0.062,0.502,0.042,0.499,0.045,0.2673,0.3366,0.0099,0.6436,0.1089,0.7624,0.2384,0.3464,0.0017,0.7099,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
k12wm002,77,R Inferior Temporal Gyrus,3,0.475,0.431,0.5,0.475,0.505,0.055,0.503,0.058,0.505,0.055,0.503,0.057,0.703,0.9406,0.5446,0.6139,0.1683,0.5743,0.7616,0.9657,0.5315,0.7616,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
k12wm003,63,L IFG (p Orbitalis),2,0.45,0.45,0.45,0.45,0.503,0.055,0.505,0.061,0.505,0.063,0.505,0.069,0.9307,0.9109,0.901,0.8317,0.7624,0.7327,0.9106,0.9106,0.9106,0.9106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
k12wm006,23,L Middle Temporal Gyrus,3,0.537,0.65,0.631,0.581,0.499,0.055,0.505,0.089,0.501,0.039,0.496,0.061,0.297,0.0297,0.0099,0.0792,0.1089,0.1287,0.1923,0.0001,0.0006,0.0239,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
k12wm007,73,L IFG (p Orbitalis),2,0.518,0.482,0.768,0.518,0.483,0.055,0.505,0.074,0.485,0.092,0.507,0.088,0.3267,0.6931,0.0099,0.4851,0.0099,0.6535,0.4469,0.6556,0,0.4469,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,41,R Insula Lobe,3,0.531,0.688,0.725,0.588,0.503,0.055,0.484,0.164,0.494,0.092,0.494,0.067,0.396,0.1782,0.0099,0.099,0.0495,0.1881,0.2384,0,0,0.0162,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
k12wm008,69,R Fusiform Gyrus,2,0.606,0.688,0.787,0.637,0.489,0.055,0.493,0.115,0.485,0.115,0.488,0.079,0.0495,0.0495,0.0099,0.0099,0.0297,0.3663,0.0044,0,0,0.0003,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
k12wm008,131,Left Cerebral White Matter,4,0.512,0.45,0.756,0.431,0.495,0.055,0.496,0.082,0.499,0.052,0.501,0.062,0.3861,0.6931,0.0099,0.8317,0.0099,0.9604,0.4063,0.9106,0,0.9657,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm009,47,L Superior Temporal Gyrus,2,0.506,0.656,0.644,0.519,0.487,0.055,0.507,0.108,0.501,0.067,0.495,0.061,0.3861,0.0693,0.0099,0.3564,0.0099,0.4554,0.4685,0,0.0002,0.3464,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
